region,country,has_figures,has_modes,has_scenarios,severity,target_phase
North America,US,false,false,false,Critical,19
North America,CA,false,false,false,Critical,19
Western Europe,UK,false,false,true,Critical,19
Western Europe,FR,false,false,true,Critical,19
Western Europe,DE,false,false,true,Critical,19
Western Europe,IT,false,false,true,Critical,19
Western Europe,NL,false,false,true,Critical,19
Western Europe,CH,false,false,true,Critical,19
Western Europe,ES,false,false,false,Critical,19
Western Europe,BE,false,false,false,Critical,19
Western Europe,AT,false,false,false,Critical,19
Eastern Europe,PL,false,false,true,Critical,19
Eastern Europe,CZ,false,false,true,Critical,19
Eastern Europe,HU,false,false,false,Critical,19
Eastern Europe,RO,false,false,false,Critical,19
Nordic/Baltic,NO,false,false,true,Critical,19
Nordic/Baltic,DK,false,false,true,Critical,19
Nordic/Baltic,FI,false,false,true,Critical,19
Nordic/Baltic,SE,false,false,true,Critical,19
Nordic/Baltic,EE,false,false,false,Critical,19
Nordic/Baltic,LV,false,false,false,Critical,19
Nordic/Baltic,LT,false,false,false,Critical,19
South Asia,IN,false,false,true,High,22
South Asia,PK,false,false,true,High,22
South Asia,BD,false,false,false,High,22
South Asia,LK,false,false,false,High,22
South Asia,NP,false,false,false,High,22
South Asia,BT,false,false,false,High,22
Central Asia,KZ,false,true,false,High,22
Central Asia,KG,false,true,false,High,22
Central Asia,TJ,false,true,false,High,22
Central Asia,TM,false,true,false,High,22
Central Asia,UZ,false,true,false,High,22
North Africa,MA,false,false,false,High,21
North Africa,DZ,false,false,false,High,21
North Africa,TN,false,false,false,High,21
North Africa,LY,false,false,false,High,21
North Africa,EG,false,false,false,High,21
West Africa,NG,false,false,false,Critical,21
West Africa,GH,false,false,false,Critical,21
West Africa,SN,false,false,false,Critical,21
West Africa,CI,false,false,false,Critical,21
West Africa,CM,false,false,false,Critical,21
East Africa,ET,false,false,false,Critical,21
East Africa,KE,true,false,true,Critical,21
East Africa,TZ,true,false,true,Critical,21
East Africa,UG,true,false,true,Critical,21
East Africa,RW,false,false,false,Critical,21
Central Africa,CD,false,false,false,Critical,21
Central Africa,CF,false,false,false,Critical,21
Central Africa,CG,false,false,false,Critical,21
Central Africa,GA,false,false,false,Critical,21
Southern Africa,ZA,true,false,true,Critical,21
Southern Africa,BW,true,false,false,Critical,21
Southern Africa,NA,true,false,false,Critical,21
Southern Africa,ZW,true,false,false,Critical,21
Southern Africa,ZM,true,false,false,Critical,21
Southern Africa,SZ,true,false,false,Critical,21
Southern Africa,LS,true,false,false,Critical,21
Southern Africa,MG,true,false,false,Critical,21
Southern Africa,MW,true,false,false,Critical,21
Southern Africa,AO,false,false,false,Critical,21
Oceania (Australia/NZ),AU,true,false,true,High,22
Oceania (Australia/NZ),NZ,true,false,true,High,22
Oceania (Melanesia),PG,true,true,false,High,22
Oceania (Melanesia),SB,true,true,false,High,22
Oceania (Melanesia),FJ,true,true,false,High,22
Oceania (Melanesia),VU,true,true,false,High,22
Oceania (Micronesia),NR,true,false,false,Medium,22
Oceania (Micronesia),FM,false,false,false,Medium,22
Oceania (Micronesia),MH,true,false,false,Medium,22
Oceania (Micronesia),KI,true,false,false,Medium,22
Oceania (Polynesia),WS,true,false,false,Medium,22
Oceania (Polynesia),TO,true,false,false,Medium,22
Oceania (Polynesia),TV,false,false,false,Medium,22
Caribbean,HT,false,false,false,Medium,20
Caribbean,DO,false,false,false,Medium,20
Caribbean,JM,false,false,true,Medium,20
Caribbean,TT,false,false,true,Medium,20
Caribbean,BB,false,false,true,Medium,20
Caribbean,CU,false,false,true,Medium,20
Arctic/Indigenous,GL,false,false,false,Medium,22
Arctic/Indigenous,IS,false,false,false,Medium,22
Arctic/Indigenous,CA-NU,false,false,false,Medium,22
