legacy_mode_id	v6_id	category_raw	category	status	candidate_target
M351	M-LUORQ-001	镇反肃反与法制	政治治理	new_rebuild_no_legacy_raw	
M352	M-LUORQ-002	公安军与内卫边防体制	组织领导	new_rebuild_no_legacy_raw	
M353	M-LUORQ-003	公安创建与队伍建设	政治治理	new_rebuild_no_legacy_raw	
M354	M-LUORQ-004	1964 大比武与郭兴福教学法	教育传承	new_rebuild_no_legacy_raw	
M355	M-LUORQ-005	情报与安全保卫	战略决策	new_rebuild_no_legacy_raw	
M356	M-LUORQ-006	纪律建设	伦理修养	new_rebuild_no_legacy_raw	
M357	M-LUORQ-007	官方生平与纪念	史学文献	new_rebuild_no_legacy_raw	
M358	M-LUORQ-008	军队政治工作	军事战略	new_rebuild_no_legacy_raw	
M359	M-LUORQ-009	情报与安全保卫	方法论通用	new_rebuild_no_legacy_raw	
M360	M-LUORQ-010	拨乱反正与真理标准支持	认识论逻辑	new_rebuild_no_legacy_raw	
