legacy_id	v6_id	name_zh	name_en	note
M351	M-LUORQ-001	镇压与宽大相结合	Combining Suppression with Leniency	旧号不复用；旧自拟命名（登记见 rulings）弃用
M352	M-LUORQ-002	军警分途	Separating the Police and Military Tracks	旧号不复用；旧自拟命名（登记见 rulings）弃用
M353	M-LUORQ-003	党委领导＋群众路线	Party Committee Leadership and the Mass Line	旧号不复用；旧自拟命名（登记见 rulings）弃用
M354	M-LUORQ-004	郭兴福教学法与群众练兵	The Guo Xingfu Teaching Method and Mass Training	旧号不复用；旧自拟命名（登记见 rulings）弃用
M355	M-LUORQ-005	警卫思想	The Guarding Doctrine	旧号不复用；旧自拟命名（登记见 rulings）弃用
M356	M-LUORQ-006	人民警察作风与警民关系	People's Police Conduct and Police-Community Relations	旧号不复用；旧自拟命名（登记见 rulings）弃用
M357	M-LUORQ-007	悼词与平反	The Eulogy and the Rehabilitation	旧号不复用；旧自拟命名（登记见 rulings）弃用
M358	M-LUORQ-008	政治与军事的辩证统一	Dialectical Unity of Politics and Military Affairs	旧号不复用；旧自拟命名（登记见 rulings）弃用
M359	M-LUORQ-009	反孤立主义、反神秘主义	Against Isolationism and Mysticism	旧号不复用；旧自拟命名（登记见 rulings）弃用
M360	M-LUORQ-010	支持真理标准讨论	Backing the Truth-Standard Debate	旧号不复用；旧自拟命名（登记见 rulings）弃用
