legacy_mode_id	v6_id	category_raw	category	status	candidate_target
M301	M-WX-001	伦理修养	伦理修养	new_rebuild_no_legacy_raw	
M302	M-WX-002	伦理修养	伦理修养	new_rebuild_no_legacy_raw	
M303	M-WX-003	伦理修养	伦理修养	new_rebuild_no_legacy_raw	
M304	M-WX-004	伦理修养	伦理修养	new_rebuild_no_legacy_raw	
M305	M-WX-005	伦理修养	伦理修养	new_rebuild_no_legacy_raw	
M306	M-WX-006	伦理修养	伦理修养	new_rebuild_no_legacy_raw	
M307	M-WX-007	伦理修养	伦理修养	new_rebuild_no_legacy_raw	
M308	M-WX-008	伦理修养	伦理修养	new_rebuild_no_legacy_raw	
M309	M-WX-009	教育传承	教育传承	new_rebuild_no_legacy_raw	
M310	M-WX-010	伦理修养	伦理修养	new_rebuild_no_legacy_raw	
