legacy_id	v6_id	name_zh	name_en	note
M301	M-WX-001	侍疾尝药法	Attending the Sick and Tasting Medicine Method	旧号不复用（随 R6B 归档释放）
M302	M-WX-002	卧冰求鲤法	Lying on Ice for Carp Method	旧号不复用（随 R6B 归档释放）
M303	M-WX-003	孝道至上法	Filial Piety Supremacy Method	旧号不复用（随 R6B 归档释放）
M304	M-WX-004	以身许物法	Body as Gift Method	旧号不复用（随 R6B 归档释放）
M305	M-WX-005	孝道循环法	Filial Piety Cycle Method	旧号不复用（随 R6B 归档释放）
M306	M-WX-006	求而得之法	Seeking and Attaining Method	旧号不复用（随 R6B 归档释放）
M307	M-WX-007	修心养性法	Heart Cultivation Method	旧号不复用（随 R6B 归档释放）
M308	M-WX-008	立身五本：信德孝悌让	Five Foundations of Character: Trust, Virtue, Filial Piety, Fraternal Love, Yielding	旧号不复用（随 R6B 归档释放）
M309	M-WX-009	孝道传世法	Filial Piety Legacy Method	旧号不复用（随 R6B 归档释放）
M310	M-WX-010	功德圆满法	Virtue Perfection Method	旧号不复用（随 R6B 归档释放）
