legacy_mode_id	v6_id	category_raw	category	status	candidate_target
—	M-AZJ-001	语言文字学/汉字现代化/文化观	教育传承	pack_theme_as_category_raw	
—	M-AZJ-002	实业经济/产业升级/知识迁移	经济商业	pack_theme_as_category_raw	
—	M-AZJ-003	国际商务/语言战略	战略决策	pack_theme_as_category_raw	
—	M-AZJ-004	政治参与/制度设计	政治治理	pack_theme_as_category_raw	
—	M-AZJ-005	「一国两制」理论/政治战略	政治治理	pack_theme_as_category_raw	
—	M-AZJ-006	语言文字学/教育方法/文化传播	教育传承	pack_theme_as_category_raw	
—	M-AZJ-007	发明创造/知识产权/汉字现代化	工程技术	pack_theme_as_category_raw	
—	M-AZJ-008	企业家精神/社会贡献/文化人格	伦理修养	pack_theme_as_category_raw	
—	M-AZJ-009	教育资助/学术激励/学界与业界互动	教育传承	pack_theme_as_category_raw	
—	M-AZJ-010	「一国两制」实践/政治担当/生命史	政治治理	pack_theme_as_category_raw	
