legacy_id	v6_id	name_zh	name_en	pack_name	note
—	M-AZJ-001	汉字本位主义	Han-Character Nativism Method	汉字本位主义：汉字是「中国第五大发明」与中华文化之根	重做链新码，无 legacy 号（H-AZJ-345 判死清档件号段禁止复用）
—	M-AZJ-002	实业救国路径	Industrial Salvation through Knowledge Transfer Method	实业救国路径：从译书启智到「三经一纬」的产业升级	重做链新码，无 legacy 号（H-AZJ-345 判死清档件号段禁止复用）
—	M-AZJ-003	多语种国际游说	Multilingual Advocacy Method	多语种国际游说：语言即竞争力	重做链新码，无 legacy 号（H-AZJ-345 判死清档件号段禁止复用）
—	M-AZJ-004	体制内建言	Inside-the-System Advocacy Method	体制内建言：从两局议员到基本法起草委员会副主任	重做链新码，无 legacy 号（H-AZJ-345 判死清档件号段禁止复用）
—	M-AZJ-005	「一国两制」早期理论贡献	Early One Country Two Systems Framework Method	「一国两制」早期理论贡献：16 条建议与繁荣稳定框架	重做链新码，无 legacy 号（H-AZJ-345 判死清档件号段禁止复用）
—	M-AZJ-006	汉字解析教学法	Radical-Excision Teaching Method	汉字解析教学法：「部首切除法」与对外汉字推广	重做链新码，无 legacy 号（H-AZJ-345 判死清档件号段禁止复用）
—	M-AZJ-007	写字机与六位数编码	Six-Digit Coding and Writing Machine Method	写字机与六位数编码：汉字信息化的原创发明	重做链新码，无 legacy 号（H-AZJ-345 判死清档件号段禁止复用）
—	M-AZJ-008	儒商传统	Scholar-Merchant Integration Method	儒商传统：实业、学术与公益的三重身份整合	重做链新码，无 legacy 号（H-AZJ-345 判死清档件号段禁止复用）
—	M-AZJ-009	教育公益与学术激励	Educational Philanthropy and Academic Incentive Method	教育公益与学术激励：安子介国际贸易研究奖	重做链新码，无 legacy 号（H-AZJ-345 判死清档件号段禁止复用）
—	M-AZJ-010	晚年使命	Late-Life Public Mission Method	晚年使命：香港回归与平稳过渡的担当	重做链新码，无 legacy 号（H-AZJ-345 判死清档件号段禁止复用）
