legacy_id	v6_id	name_zh	name_en	note
	M-SHF-001	实录真情法	Recording True Facts and Real Feelings Method	全新码（无旧号；旧件维持归档、零复用）
	M-SHF-002	物外之趣法	Delight Beyond Things Method	全新码（无旧号；旧件维持归档、零复用）
	M-SHF-003	独出己见法	Independent Judgment Method	全新码（无旧号；旧件维持归档、零复用）
	M-SHF-004	就事论事法	Each Matter on Its Own Terms Method	全新码（无旧号；旧件维持归档、零复用）
	M-SHF-005	布衣菜饭法	Plain Cloth and Simple Fare Method	全新码（无旧号；旧件维持归档、零复用）
	M-SHF-006	情之所钟法	Where Affection Settles Method	全新码（无旧号；旧件维持归档、零复用）
	M-SHF-007	知己同心法	One Heart with a Kindred Spirit Method	全新码（无旧号；旧件维持归档、零复用）
	M-SHF-008	坎坷自省法	Self-Reflection in Adversity Method	全新码（无旧号；旧件维持归档、零复用）
	M-SHF-009	得画意法	Attaining the Pictorial Idea Method	全新码（无旧号；旧件维持归档、零复用）
	M-SHF-010	浪游心得法	Insight Gained in Wandering Method	全新码（无旧号；旧件维持归档、零复用）
