legacy_mode_id	v6_id	category_raw	category	status	candidate_target
M101	M-CY-001	方法论	方法论通用	extended_candidate	
M102	M-CY-002	方法论	方法论通用	extended_candidate	
M103	M-CY-003	方法论	方法论通用	extended_candidate	
M104	M-CY-004	方法论	方法论通用	extended_candidate	
M105	M-CY-005	方法论	方法论通用	extended_candidate	
M106	M-CY-006	方法论	方法论通用	extended_candidate	
M107	M-CY-007	方法论	方法论通用	extended_candidate	
M108	M-CY-008	方法论	方法论通用	extended_candidate	
M109	M-CY-009	认识论	认识论逻辑	extended_candidate	
M110	M-CY-010	方法论	方法论通用	extended_candidate	
