legacy_id	v6_id	name_zh	name_en
M101	M-CY-001	实事求是法	Seeking Truth from Facts Method
M102	M-CY-002	调查研究先行法	Investigation and Research First Method
M103	M-CY-003	交换比较反复决策法	Exchange-Compare-Repeated Decision Method
M104	M-CY-004	摸着石头过河渐进改革法	Crossing the River by Feeling Stones — Gradual Reform Method
M105	M-CY-005	综合平衡经济思维法	Comprehensive Balance Economic Thinking Method
M106	M-CY-006	计划与市场统一思维法	Planned-Market Unity Thinking Method
M107	M-CY-007	重点突破与全面兼顾法	Key Breakthrough and Comprehensive Balance Method
M108	M-CY-008	稳定优先渐进变革思维法	Stability-First Gradual Change Thinking Method
M109	M-CY-009	实践检验真理思维法	Practice as Criterion Thinking Method
M110	M-CY-010	量力而行稳健决策法	Act According to Capability — Steady Decision Method
