legacy_mode_id	v6_id	category_raw	category	status	candidate_target
M001	M-JX-001	方法论	方法论通用	extended_candidate	
M002	M-JX-002	方法论	方法论通用	extended_candidate	
M003	M-JX-003	方法论	方法论通用	extended_candidate	
M004	M-JX-004	方法论	方法论通用	extended_candidate	
M005	M-JX-005	方法论	方法论通用	extended_candidate	
M006	M-JX-006	方法论	方法论通用	extended_candidate	
M007	M-JX-007	方法论	方法论通用	extended_candidate	
M008	M-JX-008	方法论	方法论通用	extended_candidate	
M009	M-JX-009	方法论	方法论通用	extended_candidate	
M010	M-JX-010	方法论	方法论通用	extended_candidate	
