legacy_mode_id	v6_id	category_raw	category	status	candidate_target
M361	M-SQL-001	伦理哲学	伦理哲学	unmapped_pending_review	伦理修养 / 哲学形而上
M362	M-SQL-002	国际关系	国际关系	unmapped_pending_review	政治治理
M363	M-SQL-003	社会运动	社会运动	unmapped_pending_review	政治治理
M364	M-SQL-004	政治策略	战略决策	extended_candidate	
M365	M-SQL-005	外交策略	外交策略	unmapped_pending_review	政治治理 / 战略决策
M366	M-SQL-006	社会治理	政治治理	extended_candidate	
M367	M-SQL-007	教育哲学	教育传承	extended_candidate	
M368	M-SQL-008	外交策略	外交策略	unmapped_pending_review	政治治理 / 战略决策
M369	M-SQL-009	政治哲学	政治治理	extended_candidate	
M370	M-SQL-010	方法论	方法论通用	extended_candidate	
