legacy_id	v6_id	name_zh	name_en
M361	M-SQL-001	人道主义博爱法	Humanitarian Love Method
M362	M-SQL-002	国际主义团结法	Internationalist Unity Method
M363	M-SQL-003	妇女解放实践法	Women's Liberation Method
M364	M-SQL-004	统战艺术法	United Front Art Method
M365	M-SQL-005	和平统一倡导法	Peaceful Unification Method
M366	M-SQL-006	社会福利建设法	Social Welfare Construction Method
M367	M-SQL-007	文化教育提升法	Cultural Education Enhancement Method
M368	M-SQL-008	国际外交桥梁法	International Diplomatic Bridge Method
M369	M-SQL-009	政治斗争韧性法	Political Struggle Resilience Method
M370	M-SQL-010	理想与现实统一法	Ideal-Reality Unity Method
