legacy_mode_id	v6_id	category_raw	category	status	candidate_target
M274	M-WL-001	方法论	方法论通用	extended_candidate	
M275	M-WL-002	方法论	方法论通用	extended_candidate	
M276	M-WL-003	方法论	方法论通用	extended_candidate	
M277	M-WL-004	方法论	方法论通用	extended_candidate	
M278	M-WL-005	方法论	方法论通用	extended_candidate	
M279	M-WL-006	方法论	方法论通用	extended_candidate	
M280	M-WL-007	方法论	方法论通用	extended_candidate	
M281	M-WL-008	方法论	方法论通用	extended_candidate	
M282	M-WL-009	方法论	方法论通用	extended_candidate	
M283	M-WL-010	方法论	方法论通用	extended_candidate	
