legacy_id	v6_id	name_zh	name_en
M274	M-WL-001	实事求是改革法	Seeking Truth from Facts Reform Method
M275	M-WL-002	大胆探索先行法	Bold Exploration First Method
M276	M-WL-003	注重实效决策法	Results-Oriented Decision Method
M277	M-WL-004	渐进稳妥推进法	Gradual and Prudent Advancement Method
M278	M-WL-005	实事求是用人法	Merit-Based Personnel Method
M279	M-WL-006	调查研究决策法	Investigation and Research Decision Method
M280	M-WL-007	重点突破带动全局法	Key Breakthrough Driving Overall Development Method
M281	M-WL-008	党内民主决策法	Intra-Party Democracy Decision Method
M282	M-WL-009	制度创新思维法	Institutional Innovation Thinking Method
M283	M-WL-010	历史经验总结法	Historical Experience Summary Method
