legacy_mode_id	v6_id	category_raw	category	status	candidate_target
M431	M-YSK-001	组织管理	组织领导	extended_candidate	
M432	M-YSK-002	情报策略	情报策略	unmapped_pending_review	战略决策 / 组织领导
M433	M-YSK-003	后勤保障	后勤保障	unmapped_pending_review	组织领导 / 工程技术
M434	M-YSK-004	政治体制	政治治理	extended_candidate	
M435	M-YSK-005	情报策略	情报策略	unmapped_pending_review	战略决策 / 组织领导
M436	M-YSK-006	区域治理	政治治理	extended_candidate	
M437	M-YSK-007	决策支持	战略决策	extended_candidate	
M438	M-YSK-008	政治体制	政治治理	extended_candidate	
M439	M-YSK-009	人力资源管理	组织领导	extended_candidate	
M440	M-YSK-010	战略思维	战略决策	extended_candidate	
