legacy_id	v6_id	name_zh	name_en
M431	M-YSK-001	中枢协调法	Central Hub Coordination Method
M432	M-YSK-002	地下工作法	Underground Operations Method
M433	M-YSK-003	后勤统筹法	Logistics Systematization Method
M434	M-YSK-004	组织建设法	Organizational Construction Method
M435	M-YSK-005	秘密联络法	Secret Communication Method
M436	M-YSK-006	边区治理法	Border Region Governance Method
M437	M-YSK-007	信息整合法	Information Integration Method
M438	M-YSK-008	体制维护法	System Maintenance Method
M439	M-YSK-009	干部培养法	Cadre Cultivation Method
M440	M-YSK-010	历史定位法	Historical Positioning Method
