legacy_mode_id	v6_id	category_raw	category	status	candidate_target
M211	M-CHB-001	政治哲学思维	政治治理	mapped_by_sample_table	
M212	M-CHB-002	政治经济学思维	经济商业	mapped_by_sample_table	
M213	M-CHB-003	政治策略思维	战略决策	mapped_by_sample_table	
M214	M-CHB-004	写作方法论	方法论通用	mapped_by_sample_table	
M215	M-CHB-005	方法论思维	方法论通用	mapped_by_sample_table	
M216	M-CHB-006	史学方法论	史学文献	mapped_by_sample_table	
M217	M-CHB-007	政治哲学思维	政治治理	mapped_by_sample_table	
M218	M-CHB-008	文化批判思维	文化批判思维	kept_as_is_待核	（无候选）
M219	M-CHB-009	哲学思维	哲学思维	kept_as_is_待核	（无候选）
M220	M-CHB-010	综合方法论	方法论通用	mapped_by_sample_table	
