legacy_id	v6_id	name_zh	name_en
M211	M-CHB-001	理论批判法	Theoretical Critique Method
M212	M-CHB-002	阶级分析法	Class Analysis Method
M213	M-CHB-003	政治敏锐法	Political Sensitivity Method
M214	M-CHB-004	战斗檄文法	Combat Manifesto Method
M215	M-CHB-005	系统批判法	Systematic Critique Method
M216	M-CHB-006	历史唯物分析法	Historical Materialist Analysis Method
M217	M-CHB-007	群众路线法	Mass Line Method
M218	M-CHB-008	意识形态分析法	Ideological Analysis Method
M219	M-CHB-009	辩证否定法	Dialectical Negation Method
M220	M-CHB-010	综合方法论	Comprehensive Methodology Method
