legacy_mode_id	v6_id	category_raw	category	status	candidate_target
M321	M-DYC-001	社会变革思维	社会变革思维	kept_as_is_待核	社会学（中低置信）
M322	M-DYC-002	国际关系思维	国际关系思维	kept_as_is_待核	战略决策（中低置信）
M323	M-DYC-003	政党治理思维	政党治理思维	kept_as_is_待核	政治治理（中置信）
M324	M-DYC-004	法制建设思维	法制建设思维	kept_as_is_待核	政治治理（低置信）
M325	M-DYC-005	组织建设思维	组织建设思维	kept_as_is_待核	组织领导（中置信）
M326	M-DYC-006	社会政策思维	社会政策思维	kept_as_is_待核	政治治理（低置信）
M327	M-DYC-007	国际关系思维	国际关系思维	kept_as_is_待核	战略决策（中低置信）
M328	M-DYC-008	道德伦理思维	道德伦理思维	kept_as_is_待核	伦理修养（中置信）
M329	M-DYC-009	社会变革思维	社会变革思维	kept_as_is_待核	社会学（中低置信）
M330	M-DYC-010	方法论思维	方法论通用	mapped_by_sample_table	
