legacy_id	v6_id	name_zh	name_en
M321	M-DYC-001	妇女解放法	Women's Liberation Method
M322	M-DYC-002	柔性外交法	Flexible Diplomacy Method
M323	M-DYC-003	党内民主法	Party Internal Democracy Method
M324	M-DYC-004	婚姻立法推动法	Marriage Law Promotion Method
M325	M-DYC-005	组织网络构建法	Organizational Network Construction Method
M326	M-DYC-006	民生保障法	Livelihood Protection Method
M327	M-DYC-007	民间外交法	People-to-People Diplomacy Method
M328	M-DYC-008	家风传承法	Family Tradition Inheritance Method
M329	M-DYC-009	渐进改革法	Gradual Reform Method
M330	M-DYC-010	综合创新法	Comprehensive Innovation Method
