legacy_mode_id	v6_id	category_raw	category	status	candidate_target
M341	M-FXT-001	社会结构分析	社会学	mapped_by_sample_table	
M342	M-FXT-002	民族认同建构	政治治理	mapped_by_sample_table	
M343	M-FXT-003	农村现代化	经济商业	mapped_by_sample_table	
M344	M-FXT-004	研究方法论	科学方法	mapped_by_sample_table	
M345	M-FXT-005	文化认同	文艺审美	mapped_by_sample_table	
M346	M-FXT-006	社区研究	社会学	mapped_by_sample_table	
M347	M-FXT-007	区域发展	经济商业	mapped_by_sample_table	
M348	M-FXT-008	民族政策	政治治理	mapped_by_sample_table	
M349	M-FXT-009	知识生产	科学方法	mapped_by_sample_table	
M350	M-FXT-010	跨文化研究	跨文化治理	mapped_by_sample_table	
