legacy_mode_id	v6_id	category_raw	category	status	candidate_target
M321	M-KKQ-001	工作方法思维	工作方法思维	kept_as_is_待核	方法论通用（中高置信）
M322	M-KKQ-002	组织管理思维	组织管理思维	kept_as_is_待核	组织领导（中置信）
M323	M-KKQ-003	政治哲学思维	政治治理	mapped_by_sample_table	
M324	M-KKQ-004	社会政策思维	社会政策思维	kept_as_is_待核	政治治理（低置信）
M325	M-KKQ-005	政治品格思维	政治品格思维	kept_as_is_待核	伦理修养（中置信）
M326	M-KKQ-006	法治思维	法治思维	kept_as_is_待核	政治治理（低置信）
M327	M-KKQ-007	外交战略思维	外交战略思维	kept_as_is_待核	战略决策（中置信）
M328	M-KKQ-008	个人成长思维	个人成长思维	kept_as_is_待核	伦理修养（低置信）
M329	M-KKQ-009	管理方法思维	管理方法思维	kept_as_is_待核	方法论通用（中高置信）
M330	M-KKQ-010	精神建设思维	精神建设思维	kept_as_is_待核	伦理修养（低置信）
