legacy_id	v6_id	name_zh	name_en
M321	M-KKQ-001	群众路线法	Mass Line Method
M322	M-KKQ-002	组织建设法	Organizational Construction Method
M323	M-KKQ-003	妇女解放法	Women's Liberation Method
M324	M-KKQ-004	儿童保育法	Children's Care Method
M325	M-KKQ-005	实事求是法	Seeking Truth from Facts Method
M326	M-KKQ-006	平等法治法	Equality and Rule of Law Method
M327	M-KKQ-007	国际视野法	International Vision Method
M328	M-KKQ-008	自力更生法	Self-Reliance Method
M329	M-KKQ-009	综合协调法	Comprehensive Coordination Method
M330	M-KKQ-010	四自精神法	Four-Self Spirit Method
