legacy_mode_id	v6_id	category_raw	category	status	candidate_target
M341	M-LWH-001	政治哲学	政治哲学	kept_as_is_待核	政治治理（高置信：样例 政治哲学思维→政治治理 平行）
M342	M-LWH-002	制度设计	制度设计	kept_as_is_待核	组织领导（低置信）
M343	M-LWH-003	方法论	方法论	kept_as_is_待核	方法论通用（高置信：样例 方法论思维→方法论通用 平行）
M344	M-LWH-004	组织建设	组织建设	kept_as_is_待核	组织领导（中置信）
M345	M-LWH-005	认识论	认识论	kept_as_is_待核	认识论逻辑（高置信：库内标准类目同名）
M346	M-LWH-006	政治艺术	政治艺术	kept_as_is_待核	政治治理（低置信）
M347	M-LWH-007	价值论	价值论	kept_as_is_待核	伦理修养（低置信）
M348	M-LWH-008	方法论	方法论	kept_as_is_待核	方法论通用（高置信：样例 方法论思维→方法论通用 平行）
M349	M-LWH-009	批判理论	批判理论	kept_as_is_待核	文化批判思维（中置信）
M350	M-LWH-010	史学方法	史学方法	kept_as_is_待核	史学文献（高置信：样例 史学方法论→史学文献 平行）
