legacy_id	v6_id	name_zh	name_en
M341	M-LWH-001	爱国统一法	Patriotic Unity Method
M342	M-LWH-002	民族区域自治法	Regional Ethnic Autonomy Method
M343	M-LWH-003	宗教渐进法	Gradual Religious Approach
M344	M-LWH-004	党校培养法	Party School Training Method
M345	M-LWH-005	实事求是调察法	Seeking Truth from Facts Investigation Method
M346	M-LWH-006	妥协联合艺术	Art of Compromise and Coalition
M347	M-LWH-007	群众利益代表法	Mass Interest Representation Method
M348	M-LWH-008	批评自我批评法	Criticism and Self-Criticism Method
M349	M-LWH-009	封建主义批判法	Feudalism Criticism Method
M350	M-LWH-010	历史经验总结法	Historical Experience Summarization Method
