legacy_id	v6_id	name_zh	name_en
M341	M-FXT-001	差序格局分析法	Differential Mode Analysis Method
M342	M-FXT-002	多元一体格局理论	Unity in Diversity Framework Theory
M343	M-FXT-003	乡土社会转型分析法	Rural-Social Transformation Analysis Method
M344	M-FXT-004	实地调查研究法	Field Research Methodology
M345	M-FXT-005	文化自觉理论	Cultural Self-Awareness Theory
M346	M-FXT-006	社区综合研究法	Comprehensive Community Study Method
M347	M-FXT-007	区域协调发展法	Regional Coordinated Development Method
M348	M-FXT-008	民族政策综合评估法	Comprehensive Ethnic Policy Assessment Method
M349	M-FXT-009	知识生产田野转化法	Field-to-Knowledge Production Method
M350	M-FXT-010	跨文化比较分析法	Cross-Cultural Comparative Analysis Method
