群体,人物,矛盾分析法,群众路线法,持久战思维,农村包围城市,实事求是法,统一战线法,战略预判法,渐进改革法,独立自主法,批评与自我批评,灵活策略法,系统思维法,全胜思维,战争重心法,运动歼灭法,游击战十六字诀,多元思维模型,目标管理法,边际思维,博弈论思维,无为而治法,总体性思维,自然选择法,间断均衡法,抽象归纳法,损失厌恶思维,双系统思维,冗余备份法,反馈回路法,认知偏差识别法,框架效应法,程序正义法,格局授权思维,制度化制衡/杯酒释兵权,蛰伏积势思维,笨功夫/死磕到底,知行合一/致良知,摸石头过河/实验主义,鸟笼经济/边界思维,三衙分兵/权力制衡架构,驿站制/信息流速思维,三民主义/体系化纲领
毛泽东(238篇),毛泽东,0.95,0.9,0.95,0.95,0.9,0.85,0.8,0.85,0.9,0.8,0.9,0.85,0.85,0.8,0.9,0.85,0.7,0.7,0.6,0.7,0.5,0.85,0.7,0.75,0.8,0.6,0.7,0.7,0.8,0.7,0.75,0.75,0.8,0.7,0.9,0.85,0.6,0.9,0.7,0.7,0.6,0.8
历史人物(17位),刘邦,0.7,0.0,0.0,0.0,0.6,0.9,0.0,0.0,0.0,0.0,0.85,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
历史人物(17位),刘秀,0.7,0.0,0.0,0.0,0.9,0.75,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
历史人物(17位),李世民,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
历史人物(17位),赵匡胤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
历史人物(17位),成吉思汗,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.75,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
历史人物(17位),朱元璋,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.85,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
历史人物(17位),皇太极,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.8,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
历史人物(17位),诸葛亮,0.95,0.0,0.0,0.0,0.0,0.0,0.85,0.8,0.0,0.0,0.0,0.95,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
历史人物(17位),司马懿,0.75,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
